,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
12,Mike Dunleavy,22,15,986,27340,3935,8926,1304,3460,1874,2333,698,4211,2185,719,324,1369,1986,11048,0.441,0.377,0.803,27.7,11.2,4.3,2.2,2003,0.0,0.0,0.0
13,Melvin Ely,24,9,375,6005,783,1702,0,3,426,682,448,1215,261,99,209,392,765,1992,0.46,0.0,0.625,16.0,5.3,3.2,0.7,2003,0.0,0.0,0.0
14,Reggie Evans,22,13,809,15572,1107,2379,1,11,1074,2036,1984,5765,458,566,115,897,1895,3289,0.465,0.091,0.528,19.2,4.1,7.1,0.6,2003,0.0,0.0,0.0
15,Dan Gadzuric,24,10,527,7793,1049,2100,0,8,367,737,910,2326,196,242,448,357,1250,2465,0.5,0.0,0.498,14.8,4.7,4.4,0.4,2003,0.0,0.0,0.0
16,Manu Ginóbili,25,16,1057,26859,4584,10262,1495,4055,3380,4089,685,3697,4001,1392,319,2116,2212,14043,0.447,0.369,0.827,25.4,13.3,3.5,3.8,2003,5.0,585.0,0.009
17,Gordan Giriček,25,6,384,8824,1424,3225,289,786,533,648,167,941,584,222,47,517,749,3670,0.442,0.368,0.823,23.0,9.6,2.5,1.5,2003,0.0,0.0,0.0
18,Drew Gooden,21,14,790,20127,3432,7435,88,342,1701,2239,1878,5618,896,544,474,1158,1957,8653,0.462,0.257,0.76,25.5,11.0,7.1,1.1,2003,3.0,585.0,0.005
19,Marcus Haislip,22,4,89,854,125,286,7,20,54,82,51,131,16,15,34,39,100,311,0.437,0.35,0.659,9.6,3.5,1.5,0.2,2003,0.0,0.0,0.0
20,Adam Harrington,22,1,19,111,11,37,5,14,3,4,1,8,12,2,1,2,8,30,0.297,0.357,0.75,5.8,1.6,0.4,0.6,2003,0.0,0.0,0.0
21,Junior Harrington,22,3,140,3096,290,782,20,73,133,193,69,381,428,126,25,250,401,733,0.371,0.274,0.689,22.1,5.2,2.7,3.1,2003,0.0,0.0,0.0
22,Juaquin Hawkins,29,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,0.385,0.417,0.5,11.8,2.3,1.3,0.8,2003,0.0,0.0,0.0
23,Nenê,20,17,965,25237,4175,7621,7,53,2552,3864,1688,5828,1719,1041,721,1688,2934,10909,0.548,0.132,0.66,26.2,11.3,6.0,1.8,2003,2.0,585.0,0.003
24,Nate Huffman,27,1,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,0.36,,0.625,10.9,3.3,3.3,0.7,2003,0.0,0.0,0.0
25,Ryan Humphrey,23,3,85,772,78,227,0,3,41,76,86,189,18,20,19,48,113,197,0.344,0.0,0.539,9.1,2.3,2.2,0.2,2003,0.0,0.0,0.0
26,Casey Jacobsen,21,4,287,5320,476,1210,209,594,327,425,118,516,304,121,24,210,372,1488,0.393,0.352,0.769,18.5,5.2,1.8,1.1,2003,0.0,0.0,0.0
27,Marko Jarić,24,7,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,0.404,0.344,0.73,25.2,7.1,2.7,3.6,2003,0.0,0.0,0.0
28,Chris Jefferies,22,2,72,861,102,266,35,96,42,63,21,88,29,23,23,64,92,281,0.383,0.365,0.667,12.0,3.9,1.2,0.4,2003,0.0,0.0,0.0
29,Jared Jeffries,21,11,629,13579,1163,2728,73,292,604,1036,1166,2563,798,435,323,674,1529,3003,0.426,0.25,0.583,21.6,4.8,4.1,1.3,2003,0.0,0.0,0.0
30,Ken Johnson,24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,0.405,,0.333,9.8,2.0,2.0,0.0,2003,0.0,0.0,0.0
31,Fred Jones,23,7,430,10299,1090,2651,346,979,680,841,157,958,990,336,115,511,831,3206,0.411,0.353,0.809,24.0,7.5,2.2,2.3,2003,0.0,0.0,0.0
32,Sean Lampley,23,2,45,550,69,149,0,4,65,94,28,94,33,7,4,28,45,203,0.463,0.0,0.691,12.2,4.5,2.1,0.7,2003,0.0,0.0,0.0
33,Tito Maddox,21,1,9,35,3,12,0,3,5,8,1,7,5,3,1,3,4,11,0.25,0.0,0.625,3.9,1.2,0.8,0.6,2003,0.0,0.0,0.0
34,Roger Mason,22,10,518,9147,1196,2933,594,1549,303,350,78,897,677,189,75,370,709,3289,0.408,0.383,0.866,17.7,6.3,1.7,1.3,2003,0.0,0.0,0.0
35,Yao Ming,22,8,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,0.524,0.2,0.833,32.5,19.0,9.2,1.6,2003,405.0,585.0,0.692
36,Ronald Murray,23,8,487,11077,1806,4360,328,1079,877,1210,192,1006,1096,404,100,742,795,4817,0.414,0.304,0.725,22.7,9.9,2.1,2.3,2003,0.0,0.0,0.0
37,Boštjan Nachbar,22,6,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,0.406,0.375,0.784,17.8,7.1,2.6,0.9,2003,0.0,0.0,0.0
