,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,Pts Won,Pts Max,Share
1312,Moritz Wagner,21,6,287,4693,860,1701,212,666,513,627,264,1089,342,137,87,317,652,2445,0.506,0.318,0.818,16.4,8.5,3.8,1.2,2019,0.0,0.0,0.0
1313,Lonnie Walker IV,20,6,281,5899,1059,2483,392,1093,345,433,72,646,422,152,75,255,371,2855,0.427,0.359,0.797,21.0,10.2,2.3,1.5,2019,0.0,0.0,0.0
1314,Brad Wanamaker,29,4,191,3085,355,843,73,243,263,290,49,329,464,123,33,189,306,1046,0.421,0.3,0.907,16.2,5.5,1.7,2.4,2019,0.0,0.0,0.0
1315,Julian Washburn,27,1,18,254,16,48,5,24,3,4,8,41,14,13,2,7,16,40,0.333,0.208,0.75,14.1,2.2,2.3,0.8,2019,0.0,0.0,0.0
1316,Yuta Watanabe,24,6,201,2722,309,722,151,398,101,147,105,484,132,78,61,82,226,870,0.428,0.379,0.687,13.5,4.3,2.4,0.7,2019,0.0,0.0,0.0
1317,Thomas Welsh,22,1,11,36,7,13,3,7,1,2,0,4,5,0,0,1,3,18,0.538,0.429,0.5,3.3,1.6,0.4,0.5,2019,0.0,0.0,0.0
1318,Johnathan Williams,23,2,39,552,84,144,0,4,34,61,72,163,21,9,15,21,78,202,0.583,0.0,0.557,14.2,5.2,4.2,0.5,2019,0.0,0.0,0.0
1319,Kenrich Williams,24,6,275,5958,744,1586,240,669,108,212,378,1219,542,228,84,216,556,1836,0.469,0.359,0.509,21.7,6.7,4.4,2.0,2019,0.0,0.0,0.0
1320,Robert Williams,21,6,215,4403,701,961,0,4,173,262,553,1485,304,159,355,187,414,1575,0.729,0.0,0.66,20.5,7.3,6.9,1.4,2019,0.0,0.0,0.0
1321,Trae Young,20,6,384,13073,3136,7169,993,2804,2599,2972,255,1397,3634,387,56,1595,648,9864,0.437,0.354,0.874,34.0,25.7,3.6,9.5,2019,301.0,500.0,0.602
1322,Kyle Alexander,23,1,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,0.5,,,6.5,1.0,1.5,0.0,2020,0.0,0.0,0.0
1323,Nickeil Alexander-Walker,21,5,250,4690,752,1886,333,973,207,291,87,572,534,172,93,303,398,2044,0.399,0.342,0.711,18.8,8.2,2.3,2.1,2020,0.0,0.0,0.0
1324,RJ Barrett,19,5,299,9935,1931,4569,492,1437,1053,1463,266,1596,836,195,77,633,684,5407,0.423,0.342,0.72,33.2,18.1,5.3,2.8,2020,1.0,500.0,0.002
1325,Darius Bazley,19,4,228,5384,755,1839,232,749,323,480,186,1216,275,132,170,284,227,2065,0.411,0.31,0.673,23.6,9.1,5.3,1.2,2020,0.0,0.0,0.0
1326,Goga Bitadze,20,5,218,2862,444,870,59,234,200,292,296,757,205,77,218,140,400,1147,0.51,0.252,0.685,13.1,5.3,3.5,0.9,2020,0.0,0.0,0.0
1327,Bol Bol,20,5,133,1891,328,609,47,155,104,140,84,486,90,37,106,145,129,807,0.539,0.303,0.743,14.2,6.1,3.7,0.7,2020,0.0,0.0,0.0
1328,Marques Bolden,21,3,9,35,1,3,0,0,5,8,3,10,0,3,2,2,2,7,0.333,,0.625,3.9,0.8,1.1,0.0,2020,0.0,0.0,0.0
1329,Jordan Bone,22,2,24,249,28,74,12,42,0,0,4,28,26,3,0,5,17,68,0.378,0.286,,10.4,2.8,1.2,1.1,2020,0.0,0.0,0.0
1330,Brian Bowen,21,2,12,46,4,14,0,3,1,1,1,10,0,0,1,1,4,9,0.286,0.0,1.0,3.8,0.8,0.8,0.0,2020,0.0,0.0,0.0
1331,Ky Bowman,22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,0.417,0.308,0.829,22.6,7.4,2.7,2.9,2020,0.0,0.0,0.0
1332,Jarrell Brantley,23,3,41,273,43,94,19,50,5,6,12,53,29,10,9,17,27,110,0.457,0.38,0.833,6.7,2.7,1.3,0.7,2020,0.0,0.0,0.0
1333,Ignas Brazdeikis,21,3,64,838,122,293,39,124,35,51,36,122,58,14,7,31,73,318,0.416,0.315,0.686,13.1,5.0,1.9,0.9,2020,0.0,0.0,0.0
1334,Oshae Brissett,21,5,189,3492,435,1050,173,501,286,401,226,763,149,107,63,110,260,1329,0.414,0.345,0.713,18.5,7.0,4.0,0.8,2020,0.0,0.0,0.0
1335,Charlie Brown Jr.,22,4,44,374,30,105,10,45,23,25,19,53,17,16,8,16,40,93,0.286,0.222,0.92,8.5,2.1,1.2,0.4,2020,0.0,0.0,0.0
1336,Moses Brown,20,5,137,1674,284,503,0,0,157,282,271,717,18,45,81,85,203,725,0.565,,0.557,12.2,5.3,5.2,0.1,2020,0.0,0.0,0.0
1337,Devontae Cacok,23,3,36,228,41,66,0,0,9,18,22,79,8,13,11,8,24,91,0.621,,0.5,6.3,2.5,2.2,0.2,2020,0.0,0.0,0.0
1338,Vlatko Čančar,22,4,130,1391,170,355,60,166,61,72,48,219,114,36,20,63,127,461,0.479,0.361,0.847,10.7,3.5,1.7,0.9,2020,0.0,0.0,0.0
1339,Zylan Cheatham,24,2,5,56,6,12,0,3,0,0,3,9,3,1,1,4,10,12,0.5,0.0,,11.2,2.4,1.8,0.6,2020,0.0,0.0,0.0
1340,Brandon Clarke,23,4,237,5051,1069,1770,49,169,347,492,416,1325,334,165,204,177,437,2534,0.604,0.29,0.705,21.3,10.7,5.6,1.4,2020,50.0,500.0,0.1
1341,Nic Claxton,20,5,195,4714,834,1245,3,15,268,489,414,1419,274,124,349,182,466,1939,0.67,0.2,0.548,24.2,9.9,7.3,1.4,2020,0.0,0.0,0.0
1342,Chris Clemons,22,1,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,0.401,0.346,0.909,8.8,4.9,0.9,0.8,2020,0.0,0.0,0.0
1343,Amir Coffey,22,5,202,3051,364,829,148,404,196,244,65,342,229,63,22,97,209,1072,0.439,0.366,0.803,15.1,5.3,1.7,1.1,2020,0.0,0.0,0.0
1344,Tyler Cook,22,3,65,692,100,153,1,2,45,75,50,162,21,15,6,31,68,246,0.654,0.5,0.6,10.6,3.8,2.5,0.3,2020,0.0,0.0,0.0
1345,Jarrett Culver,20,4,144,2480,367,915,92,333,108,212,127,402,173,100,54,136,239,934,0.401,0.276,0.509,17.2,6.5,2.8,1.2,2020,0.0,0.0,0.0
1346,Terence Davis,22,4,227,3660,661,1523,330,901,166,201,101,624,305,151,51,225,395,1818,0.434,0.366,0.826,16.1,8.0,2.7,1.3,2020,2.0,500.0,0.004
1347,Luguentz Dort,20,5,245,7222,1084,2718,467,1371,584,738,270,956,401,224,92,308,720,3219,0.399,0.341,0.791,29.5,13.1,3.9,1.6,2020,0.0,0.0,0.0
1348,Sekou Doumbouya,19,3,96,1639,204,526,55,215,79,114,61,267,66,47,19,81,175,542,0.388,0.256,0.693,17.1,5.6,2.8,0.7,2020,0.0,0.0,0.0
1349,Carsen Edwards,21,3,72,706,98,269,46,155,25,33,11,79,52,21,5,27,63,267,0.364,0.297,0.758,9.8,3.7,1.1,0.7,2020,0.0,0.0,0.0
1350,Tacko Fall,24,3,37,228,37,55,0,0,8,25,24,90,6,2,30,12,32,82,0.673,,0.32,6.2,2.2,2.4,0.2,2020,0.0,0.0,0.0
1351,Bruno Fernando,21,5,166,1544,224,428,6,46,98,153,160,483,100,30,66,107,237,552,0.523,0.13,0.641,9.3,3.3,2.9,0.6,2020,0.0,0.0,0.0
1352,Michael Frazier,25,1,13,145,7,29,4,23,9,14,1,10,2,2,0,5,22,27,0.241,0.174,0.643,11.2,2.1,0.8,0.2,2020,0.0,0.0,0.0
1353,Wenyen Gabriel,22,4,145,1858,254,478,37,116,103,165,196,489,69,51,61,93,283,648,0.531,0.319,0.624,12.8,4.5,3.4,0.5,2020,0.0,0.0,0.0
1354,Daniel Gafford,21,5,277,5213,956,1360,0,1,396,588,547,1405,249,129,393,251,654,2308,0.703,0.0,0.673,18.8,8.3,5.1,0.9,2020,0.0,0.0,0.0
1355,Darius Garland,20,5,270,9171,1857,4124,589,1532,743,857,129,704,1797,314,30,838,496,5046,0.45,0.384,0.867,34.0,18.7,2.6,6.7,2020,0.0,0.0,0.0
1356,Javonte Green,26,4,186,2940,353,661,68,199,168,223,168,528,126,143,67,92,272,942,0.534,0.342,0.753,15.8,5.1,2.8,0.7,2020,0.0,0.0,0.0
1357,Marko Guduric,24,1,44,484,62,157,25,83,24,26,14,73,45,12,8,36,34,173,0.395,0.301,0.923,11.0,3.9,1.7,1.0,2020,0.0,0.0,0.0
1358,Kyle Guy,22,3,53,431,57,158,27,89,24,32,9,53,50,13,1,24,33,165,0.361,0.303,0.75,8.1,3.1,1.0,0.9,2020,0.0,0.0,0.0
1359,Rui Hachimura,21,5,235,6237,1147,2389,204,583,412,536,224,1139,302,141,55,227,386,2910,0.48,0.35,0.769,26.5,12.4,4.8,1.3,2020,0.0,0.0,0.0
1360,Devon Hall,24,1,11,81,6,30,4,17,4,8,2,7,13,4,1,5,6,20,0.2,0.235,0.5,7.4,1.8,0.6,1.2,2020,0.0,0.0,0.0
1361,Donta Hall,22,2,22,312,40,57,0,0,32,52,38,100,15,8,16,13,41,112,0.702,,0.615,14.2,5.1,4.5,0.7,2020,0.0,0.0,0.0
1362,Jared Harper,22,3,16,67,15,34,5,15,7,8,2,4,15,4,1,5,6,42,0.441,0.333,0.875,4.2,2.6,0.3,0.9,2020,0.0,0.0,0.0
1363,Jaxson Hayes,19,5,272,4367,718,1151,30,108,433,609,358,1020,178,110,177,193,538,1899,0.624,0.278,0.711,16.1,7.0,3.8,0.7,2020,0.0,0.0,0.0
1364,Dewan Hernandez,23,1,6,28,5,14,1,2,3,5,5,14,3,1,0,3,6,14,0.357,0.5,0.6,4.7,2.3,2.3,0.5,2020,0.0,0.0,0.0
1365,Tyler Herro,20,5,258,8176,1702,3866,655,1697,585,668,109,1270,919,186,52,562,366,4644,0.44,0.386,0.876,31.7,18.0,4.9,3.6,2020,0.0,0.0,0.0
1366,Kevin Hervey,23,1,10,52,7,27,3,20,0,0,1,12,5,1,1,0,4,17,0.259,0.15,,5.2,1.7,1.2,0.5,2020,0.0,0.0,0.0
1367,Jaylen Hoard,20,3,39,663,103,210,9,39,42,68,65,181,45,24,10,29,45,257,0.49,0.231,0.618,17.0,6.6,4.6,1.2,2020,0.0,0.0,0.0
1368,Talen Horton-Tucker,19,5,225,4856,838,1959,185,639,373,481,117,654,718,201,91,370,454,2234,0.428,0.29,0.775,21.6,9.9,2.9,3.2,2020,0.0,0.0,0.0
1369,William Howard,26,1,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,0.0,0.0,,6.5,0.0,1.0,0.5,2020,0.0,0.0,0.0
1370,De'Andre Hunter,22,5,230,7126,1155,2593,359,994,549,677,148,954,351,154,77,320,668,3218,0.445,0.361,0.811,31.0,14.0,4.1,1.5,2020,0.0,0.0,0.0
1371,Justin James,23,2,72,542,87,195,23,67,31,57,15,62,40,14,12,23,40,228,0.446,0.343,0.544,7.5,3.2,0.9,0.6,2020,0.0,0.0,0.0
1372,DaQuan Jeffries,22,4,57,673,76,174,26,91,12,16,22,96,32,19,11,17,70,190,0.437,0.286,0.75,11.8,3.3,1.7,0.6,2020,0.0,0.0,0.0
1373,Ty Jerome,22,5,159,2748,410,974,174,495,114,138,44,294,411,88,19,133,229,1108,0.421,0.352,0.826,17.3,7.0,1.8,2.6,2020,0.0,0.0,0.0
1374,Cameron Johnson,23,5,252,6403,1031,2282,563,1420,329,396,190,977,399,201,70,183,418,2954,0.452,0.396,0.831,25.4,11.7,3.9,1.6,2020,0.0,0.0,0.0
1375,Keldon Johnson,20,5,256,7761,1570,3367,427,1189,692,919,282,1448,600,185,58,373,523,4259,0.466,0.359,0.753,30.3,16.6,5.7,2.3,2020,0.0,0.0,0.0
1376,Mfiondu Kabengele,22,3,55,380,49,128,22,73,23,27,18,81,19,12,15,18,48,143,0.383,0.301,0.852,6.9,2.6,1.5,0.3,2020,0.0,0.0,0.0
1377,Stanton Kidd,27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,0.0,0.0,,3.8,0.0,0.8,0.3,2020,0.0,0.0,0.0
1378,Louis King,20,4,27,280,48,115,20,57,13,20,8,44,25,12,4,8,37,129,0.417,0.351,0.65,10.4,4.8,1.6,0.9,2020,0.0,0.0,0.0
1379,John Konchar,23,5,233,3988,398,843,156,424,88,126,231,919,314,180,78,104,276,1040,0.472,0.368,0.698,17.1,4.5,3.9,1.3,2020,0.0,0.0,0.0
1380,Romeo Langford,20,4,141,2268,253,589,55,191,89,135,114,298,97,60,42,67,171,650,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2020,0.0,0.0,0.0
1381,Vic Law,24,1,8,62,6,18,1,7,2,6,2,11,3,2,0,2,6,15,0.333,0.143,0.333,7.8,1.9,1.4,0.4,2020,0.0,0.0,0.0
1382,Jalen Lecque,19,2,9,44,5,19,0,5,5,5,2,7,4,0,0,2,3,15,0.263,0.0,1.0,4.9,1.7,0.8,0.4,2020,0.0,0.0,0.0
1383,Nassir Little,19,5,215,3636,466,1027,167,501,182,248,162,673,165,73,91,120,302,1281,0.454,0.333,0.734,16.9,6.0,3.1,0.8,2020,0.0,0.0,0.0
1384,Terance Mann,23,5,297,6505,893,1820,216,600,339,434,276,1087,600,157,70,239,548,2341,0.491,0.36,0.781,21.9,7.9,3.7,2.0,2020,0.0,0.0,0.0
1385,Caleb Martin,24,5,222,5113,680,1490,224,619,245,328,225,854,316,194,85,205,388,1829,0.456,0.362,0.747,23.0,8.2,3.8,1.4,2020,0.0,0.0,0.0
1386,Cody Martin,24,5,184,3897,407,900,103,325,150,232,186,643,384,178,58,152,266,1067,0.452,0.317,0.647,21.2,5.8,3.5,2.1,2020,0.0,0.0,0.0
1387,Jeremiah Martin,23,2,18,174,33,86,8,30,12,19,3,17,22,12,4,10,8,86,0.384,0.267,0.632,9.7,4.8,0.9,1.2,2020,0.0,0.0,0.0
1388,Kelan Martin,24,3,96,1267,203,490,71,231,48,54,47,229,61,30,28,50,122,525,0.414,0.307,0.889,13.2,5.5,2.4,0.6,2020,0.0,0.0,0.0
1389,Garrison Mathews,23,5,222,3912,398,1000,316,853,306,364,69,396,133,125,40,85,403,1418,0.398,0.37,0.841,17.6,6.4,1.8,0.6,2020,0.0,0.0,0.0
1390,Jalen McDaniels,22,5,218,4200,591,1295,169,506,235,299,164,775,266,152,81,192,455,1586,0.456,0.334,0.786,19.3,7.3,3.6,1.2,2020,0.0,0.0,0.0
1391,Jordan McLaughlin,23,5,199,3188,344,786,116,341,97,131,69,321,665,181,27,154,160,901,0.438,0.34,0.74,16.0,4.5,1.6,3.3,2020,0.0,0.0,0.0
1392,Nicolò Melli,29,2,105,1608,182,464,92,291,73,98,67,302,126,48,26,58,182,529,0.392,0.316,0.745,15.3,5.0,2.9,1.2,2020,0.0,0.0,0.0
1393,Eric Mika,25,1,1,19,2,3,0,0,2,2,2,7,0,0,0,0,5,6,0.667,,1.0,19.0,6.0,7.0,0.0,2020,0.0,0.0,0.0
1394,Adam Mokoka,21,2,25,168,19,47,7,25,2,5,8,15,9,6,1,7,22,47,0.404,0.28,0.4,6.7,1.9,0.6,0.4,2020,0.0,0.0,0.0
1395,Matt Mooney,23,2,5,21,1,5,0,3,0,0,0,3,1,3,1,1,1,2,0.2,0.0,,4.2,0.4,0.6,0.2,2020,0.0,0.0,0.0
1396,Ja Morant,20,5,256,8247,2096,4438,324,1020,1246,1651,252,1236,1896,253,73,850,399,5762,0.472,0.318,0.755,32.2,22.5,4.8,7.4,2020,498.0,500.0,0.996
1397,Juwan Morgan,22,3,52,312,31,59,8,23,6,11,21,61,16,5,3,10,43,76,0.525,0.348,0.545,6.0,1.5,1.2,0.3,2020,0.0,0.0,0.0
1398,Mychal Mulder,25,3,84,1209,169,409,118,320,27,38,13,107,39,18,15,29,89,483,0.413,0.369,0.711,14.4,5.8,1.3,0.5,2020,0.0,0.0,0.0
1399,Malik Newman,22,2,2,12,3,7,0,2,4,4,0,1,1,0,0,2,0,10,0.429,0.0,1.0,6.0,5.0,0.5,0.5,2020,0.0,0.0,0.0
1400,Zach Norvell,22,1,5,41,3,12,3,8,1,1,0,6,3,2,0,3,4,10,0.25,0.375,1.0,8.2,2.0,1.2,0.6,2020,0.0,0.0,0.0
1401,Jaylen Nowell,20,5,193,3293,659,1481,187,591,213,266,83,415,359,97,28,137,270,1718,0.445,0.316,0.801,17.1,8.9,2.2,1.9,2020,0.0,0.0,0.0
1402,Kendrick Nunn,24,3,193,4576,911,2022,338,934,176,201,57,468,458,136,36,260,326,2336,0.451,0.362,0.876,23.7,12.1,2.4,2.4,2020,204.0,500.0,0.408
1403,KZ Okpala,20,4,98,965,85,208,28,98,24,36,40,148,47,23,26,28,125,222,0.409,0.286,0.667,9.8,2.3,1.5,0.5,2020,0.0,0.0,0.0
1404,Miye Oni,22,3,80,672,49,140,38,115,9,12,29,108,37,15,10,21,77,145,0.35,0.33,0.75,8.4,1.8,1.4,0.5,2020,0.0,0.0,0.0
1405,Tariq Owens,24,1,3,15,1,5,0,2,2,2,2,3,0,1,0,0,1,4,0.2,0.0,1.0,5.0,1.3,1.0,0.0,2020,0.0,0.0,0.0
1406,Eric Paschall,23,3,158,3085,580,1173,95,291,297,392,140,509,214,53,25,164,244,1552,0.494,0.326,0.758,19.5,9.8,3.2,1.4,2020,2.0,500.0,0.004
1407,Anžejs Pasečņiks,24,2,28,443,61,117,0,4,34,58,43,108,19,9,12,29,77,156,0.521,0.0,0.586,15.8,5.6,3.9,0.7,2020,0.0,0.0,0.0
1408,Norvel Pelle,26,3,40,335,36,68,0,1,11,20,29,97,10,4,41,23,70,83,0.529,0.0,0.55,8.4,2.1,2.4,0.3,2020,0.0,0.0,0.0
1409,Vincent Poirier,26,2,32,169,20,48,1,3,8,13,19,57,10,2,12,12,33,49,0.417,0.333,0.615,5.3,1.5,1.8,0.3,2020,0.0,0.0,0.0
1410,Shamorie Ponds,21,1,4,11,3,5,1,2,2,2,0,1,2,0,1,0,2,9,0.6,0.5,1.0,2.8,2.3,0.3,0.5,2020,0.0,0.0,0.0
1411,Jordan Poole,20,5,298,7935,1590,3784,662,1967,895,1020,105,774,1023,216,73,646,698,4737,0.42,0.337,0.877,26.6,15.9,2.6,3.4,2020,0.0,0.0,0.0
1412,Kevin Porter Jr.,19,4,196,5928,1068,2480,399,1117,473,652,161,842,987,216,61,564,508,3008,0.431,0.357,0.725,30.2,15.3,4.3,5.0,2020,0.0,0.0,0.0
1413,Michael Porter Jr.,21,5,223,6001,1295,2592,530,1286,302,381,278,1372,249,129,139,244,432,3422,0.5,0.412,0.793,26.9,15.3,6.2,1.1,2020,0.0,0.0,0.0
1414,Josh Reaves,22,1,4,28,3,9,0,2,2,2,1,3,3,0,0,0,5,8,0.333,0.0,1.0,7.0,2.0,0.8,0.8,2020,0.0,0.0,0.0
1415,Cam Reddish,20,5,201,4986,679,1706,249,779,366,433,117,585,271,217,73,256,381,1973,0.398,0.32,0.845,24.8,9.8,2.9,1.3,2020,0.0,0.0,0.0
1416,Naz Reid,20,5,278,5039,1101,2186,287,810,394,541,323,1228,288,158,242,310,675,2883,0.504,0.354,0.728,18.1,10.4,4.4,1.0,2020,0.0,0.0,0.0
1417,Justin Robinson,22,3,43,441,40,126,25,80,7,13,6,33,48,12,2,22,39,112,0.317,0.313,0.538,10.3,2.6,0.8,1.1,2020,0.0,0.0,0.0
1418,Isaiah Roby,21,4,151,2858,440,908,94,268,185,274,185,667,216,106,78,188,325,1159,0.485,0.351,0.675,18.9,7.7,4.4,1.4,2020,0.0,0.0,0.0
1419,Luka Šamanić,20,4,58,614,97,228,28,101,32,50,22,139,39,15,14,38,76,254,0.425,0.277,0.64,10.6,4.4,2.4,0.7,2020,0.0,0.0,0.0
1420,Admiral Schofield,22,4,118,1323,147,353,70,220,43,55,47,203,74,20,14,48,176,407,0.416,0.318,0.782,11.2,3.4,1.7,0.6,2020,0.0,0.0,0.0
1421,Marial Shayok,24,1,4,28,3,12,2,6,3,4,1,7,1,0,1,3,4,11,0.25,0.333,0.75,7.0,2.8,1.8,0.3,2020,0.0,0.0,0.0
1422,Chris Silva,23,4,70,532,67,110,1,4,58,82,80,189,36,10,28,51,131,193,0.609,0.25,0.707,7.6,2.8,2.7,0.5,2020,0.0,0.0,0.0
1423,Alen Smailagić,19,2,29,223,31,67,7,23,18,25,16,43,17,6,9,16,25,87,0.463,0.304,0.72,7.7,3.0,1.5,0.6,2020,0.0,0.0,0.0
1424,Max Strus,23,5,223,5547,830,1966,527,1436,176,216,105,675,419,114,50,192,427,2363,0.422,0.367,0.815,24.9,10.6,3.0,1.9,2020,0.0,0.0,0.0
1425,Matt Thomas,25,3,126,1225,178,411,109,270,37,46,19,155,61,22,4,38,74,502,0.433,0.404,0.804,9.7,4.0,1.2,0.5,2020,0.0,0.0,0.0
1426,Matisse Thybulle,22,5,300,6254,545,1225,249,724,95,142,172,594,307,452,251,166,580,1434,0.445,0.344,0.669,20.8,4.8,2.0,1.0,2020,0.0,0.0,0.0
1427,Juan Toscano-Anderson,26,5,199,3092,330,653,81,246,84,130,95,591,371,119,58,180,340,825,0.505,0.329,0.646,15.5,4.1,3.0,1.9,2020,0.0,0.0,0.0
1428,Rayjon Tucker,22,3,39,300,35,70,9,29,38,49,7,39,21,7,1,13,23,117,0.5,0.31,0.776,7.7,3.0,1.0,0.5,2020,0.0,0.0,0.0
1429,Gabe Vincent,23,5,200,4213,550,1382,290,866,133,157,61,337,465,156,19,227,409,1523,0.398,0.335,0.847,21.1,7.6,1.7,2.3,2020,0.0,0.0,0.0
1430,Dean Wade,23,5,197,3748,363,837,213,587,76,107,121,661,188,117,61,79,322,1015,0.434,0.363,0.71,19.0,5.2,3.4,1.0,2020,0.0,0.0,0.0
1431,P.J. Washington,21,5,289,8714,1400,3127,510,1417,426,595,342,1583,674,269,285,457,749,3736,0.448,0.36,0.716,30.2,12.9,5.5,2.3,2020,0.0,0.0,0.0
1432,Tremont Waters,22,3,40,407,52,147,21,71,24,25,5,37,85,30,3,46,34,149,0.354,0.296,0.96,10.2,3.7,0.9,2.1,2020,0.0,0.0,0.0
1433,Paul Watson,25,3,46,540,60,143,40,102,13,19,9,89,33,13,7,16,51,173,0.42,0.392,0.684,11.7,3.8,1.9,0.7,2020,0.0,0.0,0.0
1434,Quinndary Weatherspoon,23,3,42,272,33,73,3,16,19,23,6,32,24,12,4,18,41,88,0.452,0.188,0.826,6.5,2.1,0.8,0.6,2020,0.0,0.0,0.0
1435,Coby White,19,5,305,8492,1458,3452,663,1789,449,529,105,1062,1057,196,47,481,646,4028,0.422,0.371,0.849,27.8,13.2,3.5,3.5,2020,3.0,500.0,0.006
1436,Grant Williams,21,5,320,6995,712,1596,352,929,273,359,292,1112,394,156,168,281,794,2049,0.446,0.379,0.76,21.9,6.4,3.5,1.2,2020,0.0,0.0,0.0
1437,Nigel Williams-Goss,25,1,10,50,5,16,2,7,2,2,2,6,6,3,1,3,6,14,0.313,0.286,1.0,5.0,1.4,0.6,0.6,2020,0.0,0.0,0.0
1438,Zion Williamson,19,4,143,4537,1382,2297,26,76,793,1156,344,966,544,133,75,401,321,3583,0.602,0.342,0.686,31.7,25.1,6.8,3.8,2020,140.0,500.0,0.28
1439,Justin Wright-Foreman,22,1,4,45,7,20,2,10,3,4,0,5,7,2,0,3,5,19,0.35,0.2,0.75,11.3,4.8,1.3,1.8,2020,0.0,0.0,0.0
1440,Precious Achiuwa,21,4,216,4059,665,1409,98,312,245,407,372,1151,206,104,112,215,388,1673,0.472,0.314,0.602,18.8,7.7,5.3,1.0,2021,0.0,0.0,0.0
1441,Ty-Shon Alexander,22,1,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,0.25,0.222,0.5,3.1,0.6,0.7,0.4,2021,0.0,0.0,0.0
1442,Cole Anthony,20,4,205,5707,1010,2426,309,893,585,683,155,1003,911,138,81,426,518,2914,0.416,0.346,0.857,27.8,14.2,4.9,4.4,2021,0.0,0.0,0.0
1443,Deni Avdija,20,4,245,6149,778,1768,235,749,312,424,185,1370,568,186,99,293,610,2103,0.44,0.314,0.736,25.1,8.6,5.6,2.3,2021,0.0,0.0,0.0
1444,Udoka Azubuike,21,4,77,685,113,147,0,0,23,48,61,226,13,8,36,36,79,249,0.769,,0.479,8.9,3.2,2.9,0.2,2021,0.0,0.0,0.0
1445,LaMelo Ball,19,4,177,5660,1259,2945,508,1343,493,593,236,1116,1311,267,63,578,543,3519,0.428,0.378,0.831,32.0,19.9,6.3,7.4,2021,465.0,495.0,0.939
1446,Desmond Bane,22,4,235,6768,1492,3169,622,1491,460,524,150,984,751,224,86,387,566,4066,0.471,0.417,0.878,28.8,17.3,4.2,3.2,2021,0.0,0.0,0.0
1447,Saddiq Bey,21,4,262,7809,1234,3007,599,1669,597,712,325,1340,490,230,49,263,414,3664,0.41,0.359,0.838,29.8,14.0,5.1,1.9,2021,3.0,495.0,0.006
1448,Tyler Bey,22,1,18,71,7,22,1,4,3,5,8,19,3,0,1,3,6,18,0.318,0.25,0.6,3.9,1.0,1.1,0.2,2021,0.0,0.0,0.0
1449,Keljin Blevins,25,2,48,424,39,131,23,80,6,11,19,55,23,15,1,22,37,107,0.298,0.288,0.545,8.8,2.2,1.1,0.5,2021,0.0,0.0,0.0
1450,Amida Brimah,26,1,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,0.625,,1.0,5.8,2.6,1.6,0.2,2021,0.0,0.0,0.0
1451,Armoni Brooks,22,3,84,1468,191,527,145,438,26,35,37,189,97,41,17,52,111,553,0.362,0.331,0.743,17.5,6.6,2.3,1.2,2021,0.0,0.0,0.0
1452,Elijah Bryant,25,1,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,0.462,0.2,1.0,32.0,16.0,6.0,3.0,2021,0.0,0.0,0.0
1453,Facundo Campazzo,29,3,138,2661,230,624,137,420,141,171,45,253,461,148,37,143,259,738,0.369,0.326,0.825,19.3,5.3,1.8,3.3,2021,0.0,0.0,0.0
1454,Devin Cannady,24,2,13,219,26,72,21,53,11,14,1,11,11,10,4,7,18,84,0.361,0.396,0.786,16.8,6.5,0.8,0.8,2021,0.0,0.0,0.0
1455,Vernon Carey Jr.,19,3,37,187,27,57,1,7,17,26,17,50,5,5,8,10,22,72,0.474,0.143,0.654,5.1,1.9,1.4,0.1,2021,0.0,0.0,0.0
1456,Nate Darling,22,1,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,0.286,0.286,1.0,3.7,1.3,0.1,0.1,2021,0.0,0.0,0.0
1457,Gabriel Deck,25,2,17,268,40,81,4,19,18,22,17,46,29,9,0,8,11,102,0.494,0.211,0.818,15.8,6.0,2.7,1.7,2021,0.0,0.0,0.0
1458,Mamadi Diakite,24,3,49,505,65,137,8,34,19,27,33,123,18,16,24,22,75,157,0.474,0.235,0.704,10.3,3.2,2.5,0.4,2021,0.0,0.0,0.0
1459,Devon Dotson,21,3,28,188,23,54,4,20,5,9,9,24,30,10,0,8,23,55,0.426,0.2,0.556,6.7,2.0,0.9,1.1,2021,0.0,0.0,0.0
1460,Anthony Edwards,19,4,253,8666,2034,4591,678,1905,924,1180,187,1296,988,352,160,711,533,5670,0.443,0.356,0.783,34.3,22.4,5.1,3.9,2021,309.0,495.0,0.624
1461,CJ Elleby,20,2,88,1366,146,374,44,160,71,99,77,259,97,41,22,61,143,407,0.39,0.275,0.717,15.5,4.6,2.9,1.1,2021,0.0,0.0,0.0
