,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
50,47,Guy Rucker,"Nov 2, '02, GSW @ UTA",25,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,1.3,0.0,0.3,0.3,2003
51,48,Kareem Rush,"Oct 29, '02, LAL vs. SAS",22,7,346,5956,876,2189,288,805,173,246,104,572,353,150,74,298,459,2213,.400,.358,.703,17.2,6.4,1.7,1.0,2003
52,49,John Salmons,"Oct 29, '02, PHI @ ORL",23,13,895,23672,3007,6979,726,1986,1552,1942,435,2603,2183,756,239,1185,1667,8292,.431,.366,.799,26.4,9.3,2.9,2.4,2003
53,50,Jamal Sampson,"Jan 25, '03, MIL vs. DEN",19,5,72,631,53,108,0,1,36,67,80,242,26,9,32,33,91,142,.491,.000,.537,8.8,2.0,3.4,0.4,2003
54,51,Predrag Savović,"Nov 20, '02, DEN vs. UTA",26,1,27,256,29,93,4,26,21,29,9,25,22,14,1,21,33,83,.312,.154,.724,9.5,3.1,0.9,0.8,2003
55,52,Paul Shirley,"Jan 14, '03, ATL @ MIL",25,3,18,121,15,38,0,1,3,7,9,19,7,1,1,10,12,33,.395,.000,.429,6.7,1.8,1.1,0.4,2003
56,53,Tamar Slay,"Oct 30, '02, NJN vs. ATL",22,3,66,517,73,202,13,49,14,26,24,70,31,26,4,39,71,173,.361,.265,.538,7.8,2.6,1.1,0.5,2003
57,54,Amar'e Stoudemire,"Oct 30, '02, PHO @ SEA",20,14,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,.537,.236,.761,31.0,18.9,7.8,1.2,2003
58,55,Cezary Trybański,"Nov 15, '02, MEM vs. MIN",23,2,22,101,5,24,0,0,5,12,6,15,1,1,7,10,16,15,.208,,.417,4.6,0.7,0.7,0.0,2003
59,56,Nikoloz Tskitishvili,"Oct 30, '02, DEN @ MIN",19,4,172,1946,190,626,43,183,84,115,109,307,114,46,50,126,227,507,.304,.235,.730,11.3,2.9,1.8,0.7,2003
60,57,Dajuan Wagner,"Nov 26, '02, CLE vs. SAC",19,4,103,2202,354,967,92,287,164,213,29,142,195,69,14,136,212,964,.366,.321,.770,21.4,9.4,1.4,1.9,2003
61,58,Jiří Welsch,"Oct 30, '02, GSW vs. SAS",23,4,247,4596,516,1280,118,344,369,491,120,602,375,187,15,262,394,1519,.403,.343,.752,18.6,6.1,2.4,1.5,2003
62,59,Chris Wilcox,"Oct 30, '02, LAC vs. CLE",20,11,628,12474,2101,3884,0,18,948,1474,970,3076,455,322,246,705,1517,5150,.541,.000,.643,19.9,8.2,4.9,0.7,2003
63,60,Mike Wilks,"Dec 27, '02, ATL vs. SAS",23,7,233,2240,217,540,34,106,123,166,57,228,271,82,10,117,215,591,.402,.321,.741,9.6,2.5,1.0,1.2,2003
64,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2003
65,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2003
66,61,Frank Williams,"Nov 1, '02, NYK @ PHI",22,3,86,952,92,261,24,80,45,54,13,77,166,34,11,83,87,253,.352,.300,.833,11.1,2.9,0.9,1.9,2003
67,62,Jay Williams,"Oct 30, '02, CHI @ BOS",21,1,75,1961,273,685,65,202,103,161,27,195,350,86,17,171,179,714,.399,.322,.640,26.1,9.5,2.6,4.7,2003
68,63,Qyntel Woods,"Oct 30, '02, POR vs. LAL",21,4,167,2060,281,621,35,98,94,156,107,385,105,71,28,138,226,691,.452,.357,.603,12.3,4.1,2.3,0.6,2003
69,64,Vincent Yarbrough,"Dec 3, '02, DEN @ GSW",21,1,59,1381,168,428,21,78,49,62,36,162,130,57,33,81,145,406,.393,.269,.790,23.4,6.9,2.7,2.2,2003
0,1,Carmelo Anthony,"Oct 29, '03, DEN vs. SAS",19,19,1260,43514,10119,22643,1731,4873,6320,7764,1983,7808,3422,1223,644,3052,3543,28289,.447,.355,.814,34.5,22.5,6.2,2.7,2004
1,2,Marcus Banks,"Oct 29, '03, BOS vs. MIA",22,8,348,5571,741,1715,125,382,454,591,100,519,728,266,57,436,674,2061,.432,.327,.768,16.0,5.9,1.5,2.1,2004
2,3,Leandro Barbosa,"Nov 12, '03, PHO vs. ATL",21,14,850,18386,3403,7409,988,2556,1241,1511,319,1720,1775,693,121,1061,1651,9035,.459,.387,.821,21.6,10.6,2.0,2.1,2004
3,4,Matt Barnes,"Jan 19, '04, LAC vs. SAC",23,14,929,21967,2788,6388,982,2931,1031,1384,1066,4281,1691,714,444,1172,2353,7589,.436,.335,.745,23.6,8.2,4.6,1.8,2004
4,5,Jerome Beasley,"Oct 29, '03, MIA @ BOS",23,1,2,5,1,3,0,0,0,0,0,1,0,0,0,0,0,2,.333,,,2.5,1.0,0.5,0.0,2004
5,6,Troy Bell,"Dec 13, '03, MEM vs. NJN",23,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,.222,.000,1.000,5.7,1.8,0.7,0.7,2004
6,7,Steve Blake,"Oct 29, '03, WAS @ CHI",23,13,870,20823,2061,5145,1037,2709,503,646,250,1816,3446,587,63,1222,1287,5662,.401,.383,.779,23.9,6.5,2.1,4.0,2004
7,8,Keith Bogans,"Nov 7, '03, ORL vs. MIN",23,11,671,14527,1482,3759,714,2020,579,809,391,1817,866,429,68,574,1223,4257,.394,.353,.716,21.6,6.3,2.7,1.3,2004
8,9,Curtis Borchardt,"Nov 8, '03, UTA vs. MEM",23,2,83,1117,96,228,0,1,66,89,99,278,64,14,46,70,200,258,.421,.000,.742,13.5,3.1,3.3,0.8,2004
9,10,Chris Bosh*,"Oct 29, '03, TOR vs. NJN",19,13,893,31936,6209,12581,305,910,4466,5591,1927,7592,1795,730,932,1807,2159,17189,.494,.335,.799,35.8,19.2,8.5,2.0,2004
10,11,Torraye Braggs,"Oct 30, '03, HOU vs. DEN",27,2,22,178,19,40,0,0,8,12,25,51,7,4,2,15,33,46,.475,,.667,8.1,2.1,2.3,0.3,2004
11,12,Žarko Čabarkapa,"Oct 28, '03, PHO @ SAS",22,3,150,1550,234,548,24,88,148,202,98,312,85,33,25,119,221,640,.427,.273,.733,10.3,4.3,2.1,0.6,2004
12,13,Matt Carroll,"Nov 7, '03, POR @ SEA",23,10,459,7590,1030,2496,344,896,609,724,147,863,313,223,60,297,704,3013,.413,.384,.841,16.5,6.6,1.9,0.7,2004
13,14,Maurice Carter,"Feb 2, '04, LAL @ IND",27,1,10,110,11,35,4,11,16,20,2,11,4,0,0,9,10,42,.314,.364,.800,11.0,4.2,1.1,0.4,2004
14,15,Brian Cook,"Dec 28, '03, LAL vs. BOS",23,9,421,5649,915,2083,262,686,220,281,308,1115,252,135,134,252,789,2312,.439,.382,.783,13.4,5.5,2.6,0.6,2004
15,16,Omar Cook,"Feb 4, '04, POR @ PHO",22,2,22,213,17,51,0,5,3,6,5,13,46,16,1,16,20,37,.333,.000,.500,9.7,1.7,0.6,2.1,2004
16,17,Marquis Daniels,"Oct 28, '03, DAL @ LAL",23,10,548,11707,1772,3933,103,439,672,932,521,1552,966,509,137,644,882,4319,.451,.235,.721,21.4,7.9,2.8,1.8,2004
17,18,Josh Davis,"Mar 10, '04, ATL @ MIL",23,4,67,498,56,150,23,70,21,29,49,115,19,17,5,21,70,156,.373,.329,.724,7.4,2.3,1.7,0.3,2004
18,19,Boris Diaw,"Oct 29, '03, ATL @ NOH",21,14,1064,28768,3805,7711,475,1413,1054,1470,1258,4634,3684,648,510,1897,2269,9139,.493,.336,.717,27.0,8.6,4.4,3.5,2004
19,20,Kaniel Dickens,"Dec 20, '03, POR vs. SAS",25,3,19,85,8,20,3,9,3,4,5,12,2,2,2,3,9,22,.400,.333,.750,4.5,1.2,0.6,0.1,2004
20,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2004
21,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2004
22,21,Ronald Dupree,"Jan 7, '04, CHI @ MIA",23,6,157,1758,218,510,5,13,114,204,116,339,100,57,29,90,252,555,.427,.385,.559,11.2,3.5,2.2,0.6,2004
23,22,Ndudi Ebi,"Nov 1, '03, MIN vs. TOR",19,2,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,.486,.000,.462,4.5,2.1,1.0,0.2,2004
24,23,Francisco Elson,"Oct 29, '03, DEN vs. SAS",27,9,472,7207,725,1517,3,16,273,390,497,1638,260,228,255,355,1000,1726,.478,.188,.700,15.3,3.7,3.5,0.6,2004
25,24,Desmond Ferguson,"Mar 31, '04, POR @ BOS",26,1,7,32,5,12,3,8,0,2,0,4,1,0,0,1,0,13,.417,.375,.000,4.6,1.9,0.6,0.1,2004
26,25,T.J. Ford,"Oct 31, '03, MIL @ IND",20,8,429,11882,1829,4223,127,439,1012,1242,296,1331,2495,496,55,1047,972,4797,.433,.289,.815,27.7,11.2,3.1,5.8,2004
27,26,Richie Frahm,"Oct 30, '03, SEA vs. LAC",26,4,140,1473,178,433,95,267,51,63,36,164,83,37,10,35,122,502,.411,.356,.810,10.5,3.6,1.2,0.6,2004
28,27,Hiram Fuller,"Feb 27, '04, ATL @ DET",22,1,4,43,3,8,0,0,2,6,4,11,2,0,1,4,5,8,.375,,.333,10.8,2.0,2.8,0.5,2004
29,28,Reece Gaines,"Oct 29, '03, ORL @ NYK",23,3,71,605,48,148,7,26,20,33,9,53,50,17,3,26,40,123,.324,.269,.606,8.5,1.7,0.7,0.7,2004
30,29,Alex Garcia,"Jan 5, '04, SAS @ DEN",23,2,10,159,19,59,5,18,4,6,7,15,18,6,1,9,15,47,.322,.278,.667,15.9,4.7,1.5,1.8,2004
31,30,Willie Green,"Oct 28, '03, PHI vs. MIA",22,12,731,14783,2417,5682,517,1494,708,925,242,1303,1018,393,108,705,1259,6059,.425,.346,.765,20.2,8.3,1.8,1.4,2004
32,31,Ben Handlogten,"Oct 29, '03, UTA vs. POR",30,2,38,469,68,130,0,1,27,44,45,120,19,10,9,28,87,163,.523,.000,.614,12.3,4.3,3.2,0.5,2004
33,32,Travis Hansen,"Nov 5, '03, ATL @ GSW",25,1,41,507,46,130,9,30,22,27,30,70,19,10,9,15,67,123,.354,.300,.815,12.4,3.0,1.7,0.5,2004
34,33,Udonis Haslem,"Oct 28, '03, MIA @ PHI",23,20,879,21719,2669,5462,9,71,1239,1639,1615,5791,733,424,252,810,2069,6586,.489,.127,.756,24.7,7.5,6.6,0.8,2004
35,34,Jarvis Hayes,"Oct 29, '03, WAS @ CHI",22,7,427,9898,1397,3363,392,1101,367,460,244,1330,459,312,56,374,852,3553,.415,.356,.798,23.2,8.3,3.1,1.1,2004
36,35,Kirk Hinrich,"Nov 7, '03, CHI vs. PHI",23,13,879,27015,3503,8522,1172,3122,1416,1770,310,2576,4245,972,243,1617,2487,9594,.411,.375,.800,30.7,10.9,2.9,4.8,2004
37,36,Josh Howard,"Oct 28, '03, DAL @ LAL",23,10,507,15350,2759,6161,342,1029,1410,1830,846,2886,817,530,276,723,1297,7270,.448,.332,.770,30.3,14.3,5.7,1.6,2004
